document,line,note,notevalue,syllable,accenttype,accent,juncture,member1,lex,wd,cg,ag,minorp1,minorp,majorp,ftype,metricalboundary,musicalsection,supplement,meter,propername,emphasis,initialrise,secondaryrise,soundsymbolism,note
20,1,,,kek,r,a,,,u,u,,,b,b,u,,,b,i,paeonic,,,,,,
20,1,,,lu,,,l,,u,u,,,e,e,u,,,,i,paeonic,,,,,,
20,1,,,T' he,,,,,u,u,,,b,b,u,,,,s,paeonic,n,prolepsis,,,,
20,1,,,li,,,,,u,u,,,m,m,m,,,,s,paeonic,n,prolepsis,,,,
20,1,,,kO,p,c,n,,m,m,,,m,m,m,,,,s,paeonic,n,prolepsis,,,,
20,1,,,kO,p,c,,,m,m,,,m,m,m,,,,s,paeonic,n,prolepsis,,,,
20,1,c,1,na,,,l,,e,e,,,m,m,m,,,,,paeonic,n,prolepsis,,,,
20,1,d,1,ba,,,,l,b,b,,,m,m,m,,,,,paeonic,,prolepsis,,,,
20,1,d,1,Tu,r,a,c,l,m,m,,,m,m,m,,,,,paeonic,,prolepsis,,,,
20,1,c,2,den,,,,,m,m,,,m,m,m,,,,,paeonic,,prolepsis,,,,
20,1,AF,1,dro,,,lf,,e,e,,,e,m,m,,,,,paeonic,,prolepsis,,,,
20,1,c,2,n hai,P,g,fl,,s,,,b,b,m,m,prepositive,,,,paeonic,,prolepsis,,,,
20,1,c,1,la,r,a,,,b,b,,m,m,m,m,,,,,paeonic,,,,,,
20,1,,,Ke,,,,,m,m,,m,m,m,m,,,,s,paeonic,,,,,,
20,1,,,te,,,p,,e,e,,e,e,e,e,,,,s,paeonic,,,,,,
20,1,,,di,,,,,b,b,,,b,b,b,,,,s,paeonic,n,,,,,
20,1,,,o,p,g,l,,e,e,,,m,m,m,,,,s,paeonic,n,,,,,
20,2,,,s e,,,,l,b,b,,,m,m,m,,,,,paeonic,,,,,,
20,2,,,ri,,,c,l,m,m,,,m,m,m,,,,s,paeonic,,,,,,
20,2,eF,1,bro,r,a,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,2,d,1,mou,,,n,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,2,c,1,mou,,,l,,e,e,,,e,e,m,,,,,paeonic,,,,,,
20,2,d,1,Tu,r,a,,,b,b,,,b,b,m,,,,,paeonic,,,,,,
20,2,c,1,ga,,,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,2,AF,1,tre,,,l,,e,e,,,m,m,m,,,,,paeonic,,,,,,
20,2,c,2,s eu,,,c,l,b,b,,,m,m,m,,,,,paeonic,,,,,,
20,2,c,2,wO,r,a,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,2,,,le,,,,,m,m,,,m,m,m,,,,s,paeonic,,,,,,
20,2,,,noi,,,p,,e,e,,,e,e,e,,,,s,paeonic,,,,,,
20,2,eF,1,mo,r,a,,,b,b,,,b,b,b,,,,,paeonic,,,,,,
20,2,d,1,le,,,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,2,,1,te,,,l,,e,e,,,e,e,m,,,,,paeonic,,,,,,
20,2,eF,1,su,,,c,g,b,b,,,b,b,m,,,,,paeonic,,prolepsis,,,,
20,2,eF,1,no,r,a,c,g,m,m,,,m,m,m,,,,,paeonic,,prolepsis,,,,
20,3,d,2,mai,,,,,m,m,,,m,m,m,,,,,paeonic,,prolepsis,,,,
20,3,c,1,mo,,,lf,,e,e,,,m,m,m,,,,,paeonic,,prolepsis,,,,
20,3,d,1,n hi,r,a,,,b,,,b,m,m,m,prepositive,,,,paeonic,,,,,,
20,3,d,1,na,,,fl,,e,,,m,m,m,m,prepositive,,,,paeonic,,,,,,
20,3,d,1,Poi,r,c,n,,b,b,,m,m,m,m,,,,,paeonic,n,,,,,
20,3,c,1,Poi,r,c,,,m,m,,m,m,m,m,,,,,paeonic,n,,,,,
20,3,AF,1,bo,,,l,,e,e,,e,e,e,m,,,,,paeonic,n,,,,,
20,3,c,2,n Oi,,,,,b,b,,,b,b,m,,,,,paeonic,,,,,,
20,3,c,1,dai,p,c,n,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,3,AF,1,dai,p,c,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,3,AF,1,si,,,l,,e,e,,,e,m,m,,,,,paeonic,,,,,,
20,3,c,2,mel,r,a,,,b,b,,,b,m,m,,,,,paeonic,,,,,,
20,3,EF,2,psE,,,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,3,EF,1,te,,,l,,e,e,,,e,e,m,,,,,paeonic,,,,,,
20,3,G,2,KrU,,,,l,b,b,,,b,b,m,,,,,paeonic,,,,,,
20,3,G,1,se,,,,l,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,3,AF,1,o,,,c,l,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,3,AF,1,ko,r,a,,,m,m,,,m,m,m,,,,,paeonic,,,,,,
20,3,EF,2,mA,,,p,,e,e,,,e,e,e,,,,,paeonic,,,,,,
20,4,eF,1,n ho,P,g,f,,s,,,b,,b,b,prepositive,,,,paeonic,,,,,,
20,4,eF,1,s a,,,,,b,,,m,,m,m,proclitic,,,,paeonic,,,,,,
20,4,eF,1,na,p,g,fl,,e,,,m,,m,m,proclitic,,,,paeonic,,,,,,
20,4,g,1,di,,,c,l,b,b,,m,,m,m,,,,,paeonic,,hyperbaton,,,,
20,4,aF,1,ko,r,a,,,m,m,,m,,m,m,,,,,paeonic,,hyperbaton,,,,
20,4,g,2,run,,,,,m,m,,m,,m,m,,,,,paeonic,,hyperbaton,,,,
20,4,eF,1,ba,,,l,,e,e,,e,,m,m,,,,,paeonic,,hyperbaton,,,,
20,4,g,2,par,,,,,b,b,,,,m,m,,,,,paeonic,n,hyperbaton,,,,
20,4,g,2,nas,,,,,m,m,,,,m,m,,,,,paeonic,n,hyperbaton,,,,
20,4,g,1,si,p,a,,,m,m,,,,m,m,,,,,paeonic,n,hyperbaton,,,,
20,4,eF,2,dos,,,lf,,e,e,,,,m,m,,,,,paeonic,n,hyperbaton,,,,
20,4,eF,1,tAs,p,c,n,,b,,,b,,m,m,prepositive,,,,paeonic,,,,,,
20,4,c,1,tAs,p,c,,,m,,,m,,m,m,prepositive,,,,paeonic,,,,,,
20,4,c,1,de,,,fl,,e,,,m,,m,m,postpositive,,,,paeonic,,,,,,
20,4,eF,1,pe,,,,,b,b,,m,,m,m,,,,,paeonic,,,,,,
20,4,eF,1,te,r,a,,,m,m,,m,,m,m,,,,,paeonic,,,,,,
20,4,d,2,rA,,,l,,e,e,,e,,m,m,,,,,paeonic,,,,,,
20,4,d,1,s he,r,a,,,b,b,,,,m,m,,,,,paeonic,,,,,,
20,4,c,1,dra,,,lf,,e,e,,,,e,m,,,,,paeonic,,,,,,
20,4,AF,1,n' ha,r,a,,,s,,,b,,b,m,prepositive,,,,paeonic,,,,,,
20,5,,1,m' a,,,fl,l,b,b,,m,,m,m,,,,s,paeonic,,,,,,
20,5,AF,1,ga,,,c,l,m,m,,m,,m,m,,,,,paeonic,,,,,,
20,5,c,1,klu,,,,,m,m,,m,,m,m,,,,,paeonic,,,,,,
20,5,c,1,tais,p,c,n,,m,m,,m,,m,m,,,,,paeonic,,,,,,
20,5,AF,1,tais,p,c,l,,e,e,,e,,m,m,,,,,paeonic,,,,,,
20,5,c,1,del,,,n,,b,b,,,,m,m,,,,,paeonic,n,,,,,
20,5,d,1,del,,,,,m,m,,,,m,m,,,,,paeonic,n,,,,,
